score,star_num,help_num,review_content
17.9,1,56,"On Android 8 there's every other time ""Syncing Disabled"" (though manual sync works) makes app unreliable and by that almost unusable. @dev: It's not your bloody job to decide when to sync. Just _try_ it *each*and*every*time* you're supposed to sync."
17.85,3,53,Encryption features get better. One important one missing though: Should allow to save messages unencrypted if the server is trusted.  This option is crucial for more user friendly work.   Also: opening messages got quite slow since some updates ago.  If both issues were solved it would be 5 star!
15.65,1,47,"How the Mighty Have Fallen - used to be my go-to app for email on all my Android devices, but since I upgraded to an S8+, the app no longer syncs my mail. Checked the dev forums, this issue was reported but the devs closed the ticket as ""will not fix,"" so the app is essentially useless to me now. Good job shooting yourselves in the foot."
15.25,1,43,"used to be good, but now all I get is internet unavailable. I try all the encrypt methods to no avail."
15.1,2,38,"Little problemette since phone updated to Nougat, K9 keeps showing Syncing Disabled.   Have to maually synchronise email . Pity, as Iove the app. I've, been using it for several years on a Samsung SIII,  Sony Z4. Not found anything that gets close to it for versatility and functionality.         .K9:  V5.206      Android: V7.0      Samsung Galaxy S7   Just retried K9 (V5.600 Android 8.0.0), hoping the ""Syncing Disabled"" error was fixed, but still displays the message and fails to update email.  Very sad, very disappointing.  :("
14.75,1,41,"It's a shame. First Kaiten does a bunk, then K9 trashes its icon and the dev(s) refuse(s) to listen. I stuck with it for months but along with the synch problem I eventually trashed it for Bluemail. It's not my K9 but you cannot continue to insult folks with that flippin' icon. You are asked to submit bug reports rather than one star reviews, fair enough, but the carp icon is not a bug and no one's going to convince me that the dev(s) are not aware of the hostility to that icon so why bother? On top of that, the Play Store entry uses the good ole K9 dog icon? It's dishonest."
14.6,2,42,"K9 Ver 5.208 Samsung S7.  Been using K9 for several years on older S4 device, loved it.  With newer android K9 will not reliably get email.  Mostly I have to manually request it.  I have tried several of the claimed tips to fix it. I had hoped the claim of the problem being fixed for this version was true.  Nope, after a couple of days use, not fixed.  I'm tired of fighting it.  I really wish it was fixed but I'm wasting my time with it."
14.05,2,41,"Use to love K9 Mail.  But ever since about 2 updates ago, I just can't take it anymore!  It takes like 5 seconds or more for the email to display after you attempt to open it.  There are some other small annoyances with the latest version also.   Hopefully they'll fix the issue but until then it's another all for me."
13.85,1,41,"Broken since the update. There is a profile that keeps coming back. QR scan 
"
13.4,2,36,"Used this app for years but recently it stopped syncing. Despite background syncing is set to ""Always on"" it says ""syncing disabled"" or when kept open it counts down the minutes to the next sync but doesn't sync afterwards but instead says stuff like ""next sync 1 minute ago"" when the countdown would have hit negative numbers. This is true on both of my phones, sadly. I don't even know what to replace this app with - please fix it. :/"
12.95,2,39,Don't working after new update! It was one of the bests in the Google store but after new update the vpn conect to server but nothing happen at all ...disappointing! Please do something to restore your reputation and take my five stars!
12.95,1,29,"2018 UPDATE, K9 STILL DISSABLES SYNCHING. NO GET EMAILS AUTO, DISSABLES SYNC AT LEAST 3 TIMES A DAY. NOT SURE WHY THEY CANNOT FIX. MAYBE IF THEY CONTACT BLUE MAIL APP, THEY HAVE IT FIGURED OUT..   Warning, will not work with nouget on phones or most  tablets, not sure why k9 will not fix. Problems, sync dissabled. will not poll or  sync emails unless  manual refresh since phone 7.0 nouget update. Can not find workaroud on samsung s7 edge. Not sure why k9 is not fixing. I HAVE CONTACTED K9 DIRECTLY, NO RESPONSE. not sure why they r ignoring all the sync related complaints. Too bad. It was a great app for years. Looks like people r recomending switching to blue mail app with no problems. Please advise"
12.35,2,39,"The new look is so ugly. Pure white text on pure Black background just hurts my eyes. Please tweak the color to something more plesent (just check the dark color scheme for text editors) or at least provide a ""light theme"" option."
12.3,2,34,"Please go back to the old icon or allow the user to pick which icon is displayed.  The new icon is terrible.......it doesn't even look like a K-9, which it should.  I have had small issues with the app in the past but they have always been resolved (Thank you!) or a workaround found but I refuse to have that icon on my main screen.  I will happily change my rating after the icon issue is resolved."
12.05,1,29,"5 star reduced to 1 star.  It was bad enough when Ctrl-A would open the address book rather than Select All.  Now Ctrl-C is broken.  Rather than Copy, it pops up some stupid dialog about encryption.  What's next?  Will Ctrl-X summon Wolverine and Ctrl-V vacuum my floor?  Tried using the requested Bug Report site but that was just a jumble of developer speak and not at ALL end-user friendly."
12.0,2,34,"Won't sync with my Gmail accounts over open wifi networks. Every time it tries to I get a security alert and a recorded login attempt from somewhere random within the United States. This does not occur with my other non-gmail account. This issue has persisted for a year and has never been fixed. I put up with it for a long time, but now I'm switching to Blackberry Hub, which handles Gmail just fine. No other email client I've ever used has had this issue with Gmail."
11.8,3,36,"I'd like to use it but... Seems it doesn't want to accept my works email exchange account. Keeps saying a valid url for the exchange account could not be found. It's funny because plenty of other email apps don't have a problem. And why are the time and date on the emails so far behind the actual time and date? Get it sorted, K9!"
11.25,1,27,"Used K9 for many years but now notifications totally not working on Android 7 Galaxy A5/2017. In spite of settings configured to notify of incoming emails. Have to dump this and use Gmail app, which notifications work ok.  Latest v5.208 still not working properly. There's still no email notifications when any email comes in. The only way to know if there's any new emails is to manually open the app."
11.25,1,21,"Worked fine for years. As of most recent update, no more push emails, I have to actually start the app and then force it. Always displays syncing disabled no matter what I do in the settings. Really sucks because this was always the best email app. It is useless right now, and I will have to use some other app that isn't as good if it doesn't get fixed. Are you listening?"
11.0,3,28,"Not the best, some weird design ideas have been implemented. Where's the empty trash, or spam. Selection looses the read/unread visibility, makes it hard to distinguish one from another. There should be swipe to delete or mark read, etc. Other than that, it reads emails ok, has great level of detail for headers, the choice of colors is questionable and wpuld be better if I could select my own bg/fg for any content. Notifications while useful, don't work properly, as mark as read or delete buttons never actually do anything. Hope it will improve."
11.0,1,20,"Sync is disabled, unable to re-enable it. Cannot adjust battery optimization settings for this app. App gives notification that it's made for an older version of Android, I have Android 6.0.1. Developer must have given up on updating this app which sucks because I used it for years before."
10.6,2,32,kcp is gone after the update. have to uninstall and find an old version!
10.3,3,36,"The best open source email client for Android. Been using it for ages. 
"
10.25,2,21,"Used to be great and I used to love it. But it's become increasingly unreliable in the last year. It drops messages (they're sitting in my inbox on other computers, but k9 never gets them), it doesn't synchronize the read and archived status to the server for hours, it has trouble sending emails, and sync never works (always disabled) It was a great open source project but I'm afraid I'll have to look elsewhere now. I appreciate all the work the community has put into the app, so long!"
10.2,2,28,"Very Sad So recently I've been having problems with K9 mail and despite my best efforts it still persists. I have had problems checking my other accounts on it after checking one of them, for instance if I check one email account and then try to check another the program just hangs. I have to clear the cache and force a stop for it to work again. So that being said I'm switching."
10.05,1,21,"Almost impossible to use this latest version 5.403 Very Laggy, takes long time to schroll down and open message. Problem exists even after I recreated the data.  I have been using K9 for the past 4 years with multiple accounts on the same phone without this issue."
10.0,1,16,"I've used K9 for years on different phones, it's a simple app and straightforward to setup and use, always been happy with it. Recently installed it on a new phone, and syncing is disabled. I've tried everything I can to try to fix it but to no avail. From the looks of many posts online, it seems the developers know there's a problem but aren't in a rush to fix it. So I'll be using a different email client from now on."
9.95,3,25,"UPDATE: Wow, the new icon is garish!   I really enjoy K9 Mail, but I keep getting notifications on my Gmail accounts that someone has my passwords. Until I started using this client, I never had a problem. I'm worried because you have to choose less secure settings in Gmail that it makes my accounts vulnerable to attack."
9.85,3,27,"Installed on my s7 Samsung edge, works well but will not poll automatically,  says syncing disabled  ?????  Not sure why they can not fix it. I filed a trouble ticket online but it was ignored. My guess is they can not figure out the syncing disabled problem.  JUST FOUND A POSIBLE FIX ON  FORUMS. TRYING NOW ....."
9.55,1,25,i i need to change my mind sucked
9.5,3,28,"I've been using this classic E-Mail client since first getting an Android Phone. It's feeling a bit dated these days, with no update in over a year. It definitely needs one for Android 10."
9.45,1,3,"New Version as of 9/26/2014 is BROKE Just received Ver 5.000 and I nolonger can access my email accounts.   ""Certificate Error"".    Lets get this fixed.  It never asks to get a certificate, press next and it says ""Connecting to server"" and then it ends.   The good news is I can send & receive emails, but when it polls is when I get the Certificate Error notification.  I have tried your suggestion, but it doesn't work.  Your app now on my phone,  constantly posts ""Certificate Missing"" .  And with that, your app eats my battery up.    So I have uninstalled your app.  I need my emails and whether I post here or on your link on google that I can't find where to post a problem, My post will remain here.   I have tried reinstalling, and it failed again.   I really think your product applicaton is really great, but since the last update, its been a disaster.  So I have moved to a different email client.  You can post here if and when you fixed the problem."
9.45,1,9,"2 problems since recent updates In Accounts when you select an individual account options pop up. I used to select ""clear messages"" to remove all local messages, since 2 updates ago this has ceased to work on both my phone and tablet. Appears to do so but size does not reduce. Tried to find link from K9 its self to report but end up with host Github. It would be good to be able to report errors from app without spoiling feedback for this great app. Back to 5 stars when fixed."
9.25,1,1,"Good app but very bad data usage I've installed this app a little bit more than a month ago. I was generally happy with it but I've noticed however that it's eating my data usage allowance like crazy. Since the 1st of October, according to my phone, it used around 475MB, without counting the half a GB it used while I was in wi-fi!!! I don't receive that many emails to justify that, absolutely no way! Since I use other apps as well that use internet connection, I'm now near the limit of my 750MB monthly allowance and I'm afraid to use my phone.  There is a 'data killer' for K-9 to control data movement but that doesn't work for my phone, the gs3, as you can read from the user reviews. So, there is really no solution around it.    I first tried to raise a call with them about the lack of sync options in K-9 and how it's increasingly consuming data and the Data killer thing doesn't work! They replied to me that what I'm saying should be logged under 'enhancements' and not 'support' so they disregarded my log. Yeah, right. I'm going through their 'logging' process for something I consider a bug since they don't want to listen.    I'm uninstalling the app when I get home"
9.25,1,19,WAS good :( :( :( Used K-9 for several years. But lots of issues lately...and not syncing correctly. Made me miss some really important emails. :( :( :(  Was the best email app...but now I'm going try some others.
9.2,3,28,"Like others have found, K9 has become a bit unreliable. One very infrequent annoyance is K9 suddenly ""stopping"" and closing while drafting an email. All text in one's draft is lost, no interim saved text available to fall back on, unless one had wisely saved the draft at a previous stage. Utter, utter rubbish! Therefore I avoid writing long emails in K9. Otherwise K9 would be a really function-rich email client app (as promised in 2017)... but until then...when? Where in 2019 now, heading fast for 2020!!!"
9.05,2,21,Goodbye K9 Sad to uninstall K9 as I have used it for years. I like its visual approach among other things. But its become buggy/unstable and now I am faced with syncing disabled and no way to fix it. Emailed support and was directed to the manual and G+ community. No fix in manual and post to community asking for help unanswered. Had no choice but to make the switch to another email client for android. Sorry K9 but I guess all good things end. Bye!
9.05,1,17,"Feb 20: All deleted emails appear twice in Trash. Have reset account, doesn't help. Frequently get Can't Send Email messages and can't poll folders first time, Class Cast Exception. Also, for some reason polling often misses out folders, even though they're set to poll."
9.05,2,27,No PRINT support! I can print from my mobile to my local networked printer via cloud service .. just not with K9.
9.0,1,18,"Won't work on gmail accounts unless you check to ""Allow less secure apps"" to run on my phone. That means ALL less secure apps run automatically if I just want to allow k-9 to run a gmail account. Either the k-9 developers need to make their app more secure to pass Google's standards or Google needs to let us individually choose a ""less secure app"" one at a time to run versus just doing a blanket ALL less secure apps can run just to allow k-9 to work."
8.95,1,13,"Update 6/2019: K9 frequently slips into ""Syncing Disabled"" and I have to manually pull emails. May be time to move over to Aqua Mail or something. Works well, better than my default (S8+) email app. That being said, it still likes to download emails from my server even if already opened and deleted from phone, K9 downloads again."
8.85,2,19,"Used to be great I haven't been all that impressed the gmail's app as of late so I went on the hunt for different mobile email client.  And for a while, K-9 was it.  It did everything I wanted without clutter.  But with a recent update, it took a turn for the worse.  My biggest beef is with the way they now handle multi-select.  I like to just click an icon on the left and select an email...then click another and so on and then move/delete/etc the whole batch.  But now if you click the icon on the left it asks you if you want to add the sender to your contacts.  This is something I almost never feel the need to do but it's apparently one of the easiest things.  To select an email you no how to long-press on the email and find ""select"" in the menu.  Turned one of the easiest and most commonly used features into a chore for me.   Moving on."
8.75,2,21,"Update (June 2017) stopped synchronizing.  Lowered my rating, but not yet uninstalling. /// Update  (Dec 2015).  Still by far the best email client.  /// (2013) I have used K9 for several years for my non-gmail account.  The current official version is 4.409, and it is excellent.  However, today I installed the latest version posted at the K9 Mail developer's site, 4.512, and additional improvements make this email client stand out by some distance.  Even in comparison with Gmail.  Wow!"
8.75,2,27,"No PGP/MIME Only inline PGP supported. This issue is 3 years old according to your Git page. 2 stars and not 1 because inline is a nice start :) Rest of the app seems to be non-tablet, a pitty."
8.6,1,14,"This app used to be great. I have used it for years. Now it has been terrible. Keep getting ""sync disabled"". And it has started to give me ""authorization failed"" on some of my accounts. Have deleted those accounts and put them back. They work fine for a bit then gives me the ""authorization failed"" all over again. After this happening too many times I am giving up on K9. Maybe someday all this will be fixed and then I will give K9 another chance. Until then it no more."
8.6,2,18,"Neither of the two issues highlighted ago has been fixed 😐 Tapping the star on the right hand side in list view will cause the list to scroll. Also, progress bar when downloading an attachment would be welcome. Half the time I get the impression nothing is happening, and often nothing actually is...nevermind guys, switched to AquaMail, it's like moving from 2006 to 2015. It was nice while it lasted."
8.6,1,20,"After a long time of great results using this app it has now suddenly become useless! Permanently stuck ""upgrading database""  Even now 8 months later the latest update still has the same unfortunate results!"
8.55,1,15,"Bland design, missing several key features like retrieving mail from the trash too. Cmon guys, it's 2018 I've seen Netscape mail in the 90s let you drag messages from folder to folder. News flash: Account type has nothing to do with moving local messages. Stop being lazy and stubborn and enable it on POP accounts already."
8.5,1,4,"Drains battery, Eats data, Push doesn't work. Program looks promising, BUT in reality it is plagued with problems and bugs. The main one being for some reason it constantly connects to the server(s), eating bandwidth and battery life. The only way to stop this is to disable background sync completely, which results in NO notification of new emails at all. Tried using with 2 gmail accounts on GS3 (ics 4.0.4) and while network sync was enabled it would just constantly stay connected to gmail servers using data, causing the phone to heat up, and the battery to drain insanely fast.  Google the problem, you'll find TONS of reports and NOT A SINGLE WORKING SOLUTION :( sad because I really liked the way it formatted emails on the mobile screen, but its not usable because of the battery drain alone and the constant eating of data bandwidth 24/7.  And I'm trying to use it with GMAIL - not some odd or off the wall email service."
8.4,1,6,". After years, STILL ANNOYING! Does not seem to be in development. And does not work with Google two factor authentication. Messages load SLOW, trigger to swipe to next message is far too sensitive so trying to see what is off screen turns into swiping-confusion, creates phantom labels, i.e. ""[Gmail]/Sent"" ""[Gmail]/Archive (The internet does not seem to know why). Also, the rules for mail fetching suck, e.g., the timeframe for accessible messages, even through manual calls, is limited by a hard setting...which makes absolutely no sense. On top of it all it has a horrible icon and name....typical Google.   Relented and went back to splintered use of native Gmail and Mail apps, which sucks in its own right. I want to give it two stars, but that's just one less star to make up for all the BS 5 star reviews."
8.4,1,6,"Loved this app but it suddenly started draining both data and battery. First warning was a text from my operator saying that I'd used 6GB mobile data in a couple of weeks last summer. Checked the phone and it was almost all down to K9. Disabled background data — hardly ideal —  but I was prepared to give the program another chance. Final straw happened a few days ago when I experienced serious internet connectivity problems, only to discover that K9 Mail had used over 60GB of wifi data over the previous month. At the risk of stating the obvious, this is insane! Having persevered with this for years, I've now given up, uninstalled and gained about 3 hours battery life per day. Should be removed from the Play Store."
8.4,3,26,"You could have flattened the icon without making it look like the awful one you have thrust upon us. I understand what you've tried to do and doing so would have made it better than the old one, but this attempt is just awful. Please find a designer who knows what they are doing."
8.35,2,23,It was very good and connect easily by 3g simcard or home adsl but not working than one month age in Iran
8.25,3,23,The app is not compatible with Android 10 (eats battery like crazy) and the new beta version has horrible UI. :-(
8.15,3,25,"Great email app, been using it for years, but the new icon?  Absolute rubbish, it looks like it was designed by a 5-year-old, actually a 5-year-old could do a better job I'm sure"
8.05,1,7,"*EDIT!! Moderately new bug!!!!!* Usually LOVE this app - ALL I use, for MANY years ... but major problem with last update!! Outgoing emails will NOT send unless I'm on wifi (3G and 4G working fine, but emails won't sent, get stuck in outbox until wifi goes on (getting notification saying problem sending this email). Usually goes out perfectly fine once on wifi. This is a NEW problem!!  ****I'm hoping the makers will see this review and fix this*** PLEASE!!??"
8.0,1,8,"Not respecting poll settings I have added an email account that I don't have access to anymore, but I'd still like to have the emails available. Therefor I changed the account settings to never poll the server. Since the last update this doesn't seem to work anymore. I am constantly reminded that the authentication failed. Can you fix this please?...still not fixed after last update. Will give it 5 star when problem is removed."
7.95,2,19,"Upgrade broke it Has been a great email client, but recently a lot of persistent quirks - doesn't show my most recent mail, although they show up in notifications. Now keeps telling me my server settings are wrong (no changes except the upgrade), and the application keeps stopping.  Goign to have to change over to some other IMAP email app."
7.95,2,19,"Major bug for several months now - does not sync/update reliably. Sometimes it does, but sometimes it does not sync for hours until I manually force it. Totally random. Have missed dozens of important emails this way. Now looking at the alternatives."
7.95,1,15,"Used it for years, until it stopped syncing after switching to Android 8.0. No solution or workaround for this problem. It became useless, I will uninstall it and search for an alternative."
7.8,2,16,"Can't see attachments!    5.203 has two big problems. Messages load slow, real slow. And the attachment is now indicated at the bottom of the message not at the top.  So you can easily miss it. This is a deal breaker for a default email client."
7.75,1,7,"Been great until three days ago and it just stopped working. Rebooted phone. Reinstalled. Nothing. It goes to load messages from hotmail and the progress wheel just spins and spins...nothing. UPDATE - never got a response from the developer. But tried it again later. Quirky. Some messages just do not come through at all. it has actually been some very crucial ones as well. The current problem I have, is now, after I read a message, it disappears, deleted from stored messages. Very Very bad."
7.7,3,22,Basically good. But it's getting unstable recently. I'm currently in China. It doesn't work on my laptop and even Sometimes on my phone.
7.7,1,2,"Annoying First it got my settings wrong (how difficult is it to check correct settings for Yahoo?) then created the account anyway with incorrect settings, so I ended up with three copies of the account. When I said never poll, it still polled the first time, and locked the app for several minutes trying to download hundreds of messages. It appears to have no setting to leave incoming mail on the server (a pop3 feature which has existed for decades) so the most recent messages now only exist on my phone (the very reason I asked it not to poll, and the reason I have already deleted the app). It kept downloading messages when no poll and no sync had been requested.  The other major feature missing in my native email client, intelligent recognition of phone numbers and other details in mail bodies, appears to be partially implemented, but selecting a number doesn't show you what you have selected, and doesn't prompt what you want to do with, it simply takes you to the dialler and pastes the number there.   Have no idea what it does with email addresses and URLs but I don't want this app anyway."
7.7,3,4,"I had used k9 for many years as there wasn't another email client nearly half as good or efficient, but the latest update has introduced a number changes that make it significantly slower to use. Bring back the ""mark all read"" in notification pull down, and let us disable warnings such as confirmation required to""mark all read"" in main window. I think these two things will cost me half an hour a day managing my email on the go, that is 3 weeks in a year, I will check back in a few months if these are back. Update 5023 improved and fixed a few things, notification area still needs work, it's hard work trying to get the right message to show the options so you can delete or mark read when each has its own set of options and even Gmail doesn't split the options or message, change for the sake rather than good functional design, thanks for listening on the other things though."
7.7,2,18,"Used this app for years, but i'm going to install it and use another app. Why? Because it says ""syncing disabled"" for most of the time so no mail is being retrieved automatically. Apparently they are not doing anything to fix this. A shame for such nice application as it used to be."
7.7,1,14,"Not working with Yahoo I've used this app for several years, but due to the latest update it hasn't worked with Yahoo for over a month so I'm sorry to say that I'm deleting this app for another email client."
7.65,1,15,"Abandoned-ware. Back in the day, this app was the bomb. These days it seems it is no longer supported. Does not sync IMAP properly, does not handle security certificates well, does not fetch in the background, no notifications when mail arrives. Strictly bush-league now. I switched to Blue Mail and love it. Uninstalled."
7.6,1,10,"8 years ive used this app. now I'm over it. repeated tickets have been raised for the continued syncing issues. repeated blame deflection from user fault to android/power issue. just admit you can't fix it. one of your developers public posted they're aware but repeated reports aren't helpful. that was a year ago and yet the problem remains current. some people might like an app that can't poll unless you tell it to, but if it's supposed to, and doesn't, that's something that needs fixing!"
7.6,2,14,"Message view getting worse I try to fit as many emails on the screen as possible, which the previous version allowed.. Now, unless I turn off the stars visibility I can only now fit a few emails on my note 3... Why are the stars so big??  They only need to be small, please can you reduce them considerably.  Cheers"
7.5,2,16,"The scroll bar on the right overlaps the message stars, which makes this app unusable if you need to star and unstar messages. Is anyone from the K9 project using their own app?"
7.449999999999999,3,15,"One major problem Good app except I want to have all my emails stored on my external SD card.  Yes, I know there's an option to store to the external card, and I have it switched on, but on my phone, internal storage is called sdcard0 and the external card is called sdcard1.  K-9 does not seem to be able to differentiate between the two, and, thus, over a gig of emails are being stored internally and taking up valuable space.  There needs to be an option to let the user specify the storage path."
7.4,3,22,I have one complaint. Why is there no stop button on the nougat notification like the one on marshmallow?
7.4,1,8,"So many problems I delete an email and it still shows in my inbox, multiple messages dont ge sent, delays in updating mailbox and syncing. This is the worst email app ive ever used"
7.4,1,8,"Update: it became so bad after updates, very slow downloading new mails, crashes when deleting mails, reply rarely works. Now uninstalled and using a different app."
7.3999999999999995,2,0,"New post for recent update. Old issue of old messages, like a year old, randomly fetched as new messages continue. New interface doesnt fit screen properly. I have all accounts on opening screen The title bar where it saus Accounts and details polling is too small. Polling results type is cropped on half for lack of room. I cant read it. I tried minimising fonts but has not effect on Account title bar.  Over the last few months when I fetch messages, it downloads old messages from months ago that have all been read and some were deleted. Went online to my mail provider and selected All messages as read even though they wete showing as read to be sure. Made zero difference. Still randomly get 10 to 20 very old emails already read or deleted in my inbox. Very frustrating. Also have 2 yes 2 trash boxes in same account. I have 4 accounts all have 2 trash boxes. A deleted message is duplicated into each trash box. I have to delete both. Also when I write a message and send it creates duplicaye message. One is sent the other is duplicated again and placed in each trashbox. Seriously a pain. installed on both my Android 6.0.1 LGG4 and 6. 0.1 LGG5 and both do this. Please fix"
7.35,1,9,"If I could give less than 1 star I would. I have paid for a subscription and have been using this horrible application since July. The application is unstable. I have 7 different servers and all of them don't work with FB, IG, ect. I have a 200mb line at home and I will be lucky to get 2mb when this vpn is connected. In the evenings this app just doesn't work because the servers are to slow."
7.35,2,13,"Been using this for a couple years now and a few problems, but they usually got fixed . however recently it refuses to sync. So I re-entered all my imap account info, checked for updates[ had newest already] , updated my android phone profile in settings, and yes, even turned my phone off and back on . still wont sync ."
7.3,2,14,This recently made my phone really slow and other apps would frequently hang when ss was enabled. Used to work perfectly
7.3,1,10,"This is the only email client I've found on Android that does email well. PGP support, integration with key chain management apps and easy to use generally. Was a bit confused by the UI initially when changing between accounts because the UX doesnt quite follow 'normal' Android approaches.  However it is now almost impossible to enter a recipient address in full without K9 cutting off entry and showing an ""invalid recipient"" error; leaving you to refocus the cursor and continue typing the recipient address - sometimes having to start from scratch. V annoying"
7.3,2,14,"Problems sending email and numerous crashes I have used and loved this app for several years and thought it was the best email app our there.   But on my new S7, I am having nothing but trouble.   Constant problems when sending emails and crashes at least 4 times a day.  I will be uninstalling and trying to find another app."
7.3,2,14,"Used to be great Alot of great features. However it has issues with email syncing and it can drain your battery unexpectedly. There's no easy way to kill a sync job without force quitting the app, inherently the app should kill any sync attempt that takes an excessive amount of time but it doesn't."
7.25,1,5,"Was highly recommend but not now Hi there guys. This app was the best app for emails till date. I hoped that it stays on my phone for ever but the recent sync issues have been a problem for me. Even though setting everything properly it doesn't give me push notifications for the new emails,  and always displays syncing disabled which I have not. Fix this problem will return back to 5 stars."
7.25,1,11,"There is an error showing in attachments and in Text messages too. The attachments dont open and text messages dont appear properly, the messages are in Some software language. The attached file also shows as ""winmail.dat"" file. Off late k9 mail is not doing good. If not rectified soon, will shift to other App."
7.25,1,11,"Used to work very well, but... Got a software update for Lollipop, and I continue to get certificate errors! This is terrible!"
7.2,2,4,"Version 4.400 I was able to open it once and the new design looked great but it keeps force closing on me. I have restarted the phone a couple of times and still no luck.  Not sure if it was the 2nd update or not but it is working much, much better so far. No force closes. I am wondering if the short cut I had on my homescreen may have been linked to the old version. Not sure. Either way, this is a very nice looking improvement.  The updates have helped but it still force closes every time I try to delete multiple messages.  Although this has been updated several times, it still has not fixed the problem with deleting multiple emails. It will allow it once or twice but then it force closes.  It is a shame because it is a good app but it is just too buggy to use consistently!"
7.2,1,0,"Liked it until Update I got K-9 because the default mail client was broken from day one. The default client changed the content and / or to: addresses when replying to an email.   K-9 initially was great with my IMAP server.  I made the misteak of letting it update, and I don't need, but can live with all the UI features it added.  But I can't live with how the new version messes up my IMAP account, with messages showing up on the phone, but absent from my PC mail clients.  Today, it created a mail message with no content and no headers, leaving me to wonder if there had been a message on the server that got deleted by K-9.  Time to downgrade or find another client."
7.2,1,0,"Emails No Longer Display Since 4.800 Was working fine on my Nexus 5 (Kitkat) with Ver 4.409, got the update to 4.800 now if I open any HTML formatted email it is shows the Sender and Subject but the message area is blank. If I use the 'Next Email' and 'Previous Email' buttons the mail flashes up for about half a second then goes blank. Plain/Rich text emails seem to be unaffected. Have now re-installed 4.409 manually and disabled auto update in the Play store as a work around. Was a 5 Star app before this failed update please fix soon"
7.2,2,16,Worked fine until recent update. I've always loved K9mail.  It worked flawlessly until the recent update and now it won't work with my university's server configuration (Penn State).  Useless until this gets resolved.  : (
